"City of Whittlesea, Households renting social housing, 2021, Enumerated,Percentage of: Total households",
"SA1","Number","Percent (%)","Households",
"20904121601","0","0.0%","116",
"20904121603","0","0.0%","138",
"20904121604","0","0.0%","135",
"20904121605","0","0.0%","225",
"20904121606","0","0.0%","98",
"20904121607","0","0.0%","111",
"20904121608","0","0.0%","112",
"20904121609","0","0.0%","177",
"20904121611","0","0.0%","117",
"20904121612","0","0.0%","134",
"20904121613","22","11.9%","185",
"20904121614","3","1.3%","238",
"20904121616","8","0.9%","879",
"20904121701","0","0.0%","79",
"20904121702","0","0.0%","143",
"20904121703","0","0.0%","106",
"20904121704","0","0.0%","122",
"20904121705","31","19.7%","157",
"20904121706","0","0.0%","164",
"20904121707","0","0.0%","101",
"20904121708","3","2.2%","135",
"20904121709","5","1.9%","261",
"20904121710","0","0.0%","78",
"20904121711","3","1.4%","219",
"20904121712","0","0.0%","91",
"20904121713","0","0.0%","176",
"20904121714","0","0.0%","146",
"20904121715","0","0.0%","146",
"20904121716","3","3.4%","88",
"20904121717","7","6.3%","111",
"20904121718","3","2.2%","137",
"20904122001","0","0.0%","96",
"20904122003","3","1.7%","179",
"20904122004","3","1.7%","175",
"20904122005","0","0.0%","149",
"20904122006","3","1.8%","170",
"20904122007","0","0.0%","128",
"20904122008","0","0.0%","104",
"20904122009","0","0.0%","117",
"20904122010","0","0.0%","97",
"20904122011","0","0.0%","119",
"20904122012","0","0.0%","131",
"20904122013","0","0.0%","167",
"20904122014","0","0.0%","113",
"20904122015","5","4.1%","121",
"20904122016","3","1.8%","169",
"20904122017","0","0.0%","102",
"20904122018","0","0.0%","130",
"20904122019","0","0.0%","121",
"20904122020","3","3.6%","84",
"20904122021","4","2.9%","136",
"20904122022","0","0.0%","173",
"20904122023","0","0.0%","159",
"20904122024","0","0.0%","164",
"20904122025","0","0.0%","63",
"20904122026","0","0.0%","140",
"20904122027","0","0.0%","90",
"20904122028","0","0.0%","152",
"20904122029","0","0.0%","159",
"20904122030","0","0.0%","151",
"20904122031","0","0.0%","91",
"20904122032","0","0.0%","129",
"20904122033","0","0.0%","134",
"20904122034","0","0.0%","116",
"20904122035","0","0.0%","180",
"20904122036","4","3.0%","135",
"20904122037","4","0.8%","510",
"20904122038","0","0.0%","156",
"20904122039","5","6.2%","81",
"20904122040","0","0.0%","75",
"20904122041","0","0.0%","117",
"20904122042","0","0.0%","128",
"20904122043","0","0.0%","104",
"20904122044","7","5.5%","128",
"20904122045","0","0.0%","100",
"20904122046","0","0.0%","88",
"20904122101","0","0.0%","146",
"20904122102","0","0.0%","115",
"20904122103","0","0.0%","127",
"20904122104","0","0.0%","156",
"20904122105","0","0.0%","144",
"20904122106","25","14.0%","179",
"20904122107","14","8.2%","170",
"20904122108","11","6.4%","171",
"20904122109","0","0.0%","117",
"20904122110","8","3.6%","222",
"20904122111","0","0.0%","155",
"20904122112","0","0.0%","145",
"20904122113","6","3.2%","186",
"20904122114","3","1.6%","183",
"20904122115","3","2.3%","131",
"20904122116","10","11.0%","91",
"20904122117","3","2.0%","147",
"20904122118","3","1.7%","174",
"20904122119","0","0.0%","90",
"20904122120","7","5.1%","136",
"20904122121","0","0.0%","165",
"20904122122","4","4.8%","83",
"20904122123","4","4.5%","89",
"20904122124","5","2.9%","171",
"20904122125","0","0.0%","227",
"20904122126","0","0.0%","78",
"20904122127","0","0.0%","103",
"20904122128","0","0.0%","77",
"20904122129","0","0.0%","110",
"20904122301","6","4.3%","141",
"20904122302","0","0.0%","213",
"20904122303","0","0.0%","130",
"20904122304","4","1.4%","291",
"20904122305","0","0.0%","253",
"20904122306","0","0.0%","146",
"20904122307","0","0.0%","174",
"20904122308","3","1.5%","195",
"20904122309","0","0.0%","221",
"20904122310","0","0.0%","121",
"20904122311","0","0.0%","122",
"20904122312","0","0.0%","203",
"20904122313","0","0.0%","119",
"20904122314","5","2.7%","187",
"20904122315","7","7.1%","99",
"20904122316","0","0.0%","68",
"20904122317","0","0.0%","114",
"20904122318","0","0.0%","150",
"20904122319","0","0.0%","152",
"20904122320","0","0.0%","115",
"20904122321","4","3.8%","104",
"20904122322","0","0.0%","124",
"20904122323","22","16.7%","132",
"20904122325","0","0.0%","19",
"20904122326","0","0.0%","133",
"20904122327","0","0.0%","80",
"20904122328","5","3.7%","135",
"20904122329","0","0.0%","108",
"20904122330","5","4.2%","119",
"20904122331","3","1.3%","224",
"20904122332","0","0.0%","136",
"20904122333","11","4.8%","228",
"20904122334","0","0.0%","209",
"20904122336","0","0.0%","157",
"20904122337","0","0.0%","120",
"20904122338","5","4.3%","116",
"20904122339","0","0.0%","144",
"20904122340","0","0.0%","134",
"20904122341","0","0.0%","147",
"20904122342","6","3.0%","200",
"20904122343","0","0.0%","148",
"20904122345","0","0.0%","142",
"20904122346","6","3.5%","173",
"20904122347","3","2.0%","150",
"20904122348","0","0.0%","126",
"20904122349","0","0.0%","140",
"20904122351","0","0.0%","124",
"20904122352","0","0.0%","67",
"20904122353","0","0.0%","137",
"20904122354","0","0.0%","176",
"20904122501","0","0.0%","134",
"20904122503","0","0.0%","90",
"20904122504","0","0.0%","140",
"20904122505","0","0.0%","96",
"20904122506","0","0.0%","178",
"20904122507","12","5.9%","204",
"20904122508","0","0.0%","84",
"20904122509","3","1.4%","222",
"20904122510","0","0.0%","161",
"20904122512","0","0.0%","136",
"20904122514","0","0.0%","116",
"20904122516","0","0.0%","170",
"20904122517","3","2.4%","123",
"20904122518","5","4.8%","104",
"20904122519","0","0.0%","180",
"20904122520","4","3.6%","111",
"20904122521","4","2.4%","170",
"20904122522","0","0.0%","58",
"20904122523","0","0.0%","99",
"20904122524","0","0.0%","244",
"20904122525","0","0.0%","74",
"20904122526","0","0.0%","275",
"20904122527","0","0.0%","146",
"20904122528","0","0.0%","176",
"20904122529","0","0.0%","158",
"20904122530","0","0.0%","30",
"20904143101","0","0.0%","320",
"20904143103","0","0.0%","168",
"20904143104","5","2.5%","197",
"20904143105","3","3.8%","80",
"20904143106","0","0.0%","85",
"20904143107","0","0.0%","202",
"20904143108","4","1.9%","206",
"20904143109","4","2.6%","156",
"20904143110","3","1.9%","156",
"20904143111","3","2.5%","121",
"20904143112","0","0.0%","99",
"20904143113","0","0.0%","142",
"20904143114","0","0.0%","277",
"20904143115","7","3.9%","181",
"20904143116","0","0.0%","117",
"20904143117","0","0.0%","119",
"20904143118","3","1.9%","154",
"20904143119","5","4.4%","114",
"20904143120","0","0.0%","74",
"20904143121","0","0.0%","161",
"20904143122","0","0.0%","137",
"20904143123","0","0.0%","118",
"20904143124","0","0.0%","140",
"20904143125","0","0.0%","118",
"20904143126","0","0.0%","95",
"20904143127","0","0.0%","164",
"20904143128","0","0.0%","73",
"20904143129","7","6.8%","103",
"20904143130","0","0.0%","63",
"20904143131","0","0.0%","105",
"20904143132","0","0.0%","77",
"20904143133","0","0.0%","168",
"20904143201","3","2.4%","124",
"20904143202","0","0.0%","64",
"20904143203","7","9.5%","74",
"20904143204","6","7.2%","83",
"20904143205","0","0.0%","67",
"20904143206","3","2.4%","127",
"20904143207","3","2.4%","123",
"20904143208","6","3.4%","179",
"20904143209","11","6.5%","170",
"20904143210","8","5.3%","152",
"20904143212","5","3.2%","155",
"20904143213","4","1.9%","214",
"20904143214","4","1.9%","208",
"20904143216","0","0.0%","182",
"20904143217","0","0.0%","6",
"20904143218","0","0.0%","59",
"20904143219","0","0.0%","151",
"20904143220","4","2.2%","178",
"20904143221","10","11.1%","90",
"20904143222","3","2.3%","132",
"20904143223","0","0.0%","129",
"20904143225","3","2.6%","116",
"20904143226","0","0.0%","131",
"20904143301","0","0.0%","179",
"20904143302","5","4.8%","105",
"20904143303","0","0.0%","232",
"20904143304","5","2.8%","178",
"20904143305","0","0.0%","240",
"20904143306","0","0.0%","117",
"20904143307","3","1.3%","230",
"20904143308","0","0.0%","177",
"20904143309","0","0.0%","115",
"20904143310","0","0.0%","123",
"20904143312","0","0.0%","100",
"20904143313","0","0.0%","84",
"20904143314","0","0.0%","139",
"20904143315","26","7.6%","342",
"20904143316","0","0.0%","133",
"20904143317","0","0.0%","81",
"20904143318","0","0.0%","71",
"20904143319","0","0.0%","723",
"20904143320","0","0.0%","88",
"20904143321","0","0.0%","205",
"20904143322","0","0.0%","155",
"20904143501","0","0.0%","274",
"20904143502","0","0.0%","210",
"20904143503","3","1.6%","182",
"20904143504","0","0.0%","108",
"20904143505","0","0.0%","113",
"20904143506","0","0.0%","84",
"20904143507","0","0.0%","203",
"20904143508","0","0.0%","138",
"20904143509","0","0.0%","182",
"20904143510","0","0.0%","151",
"20904143511","0","0.0%","317",
"20904143512","0","0.0%","97",
"20904143513","0","0.0%","168",
"20904143514","0","0.0%","162",
"20904143515","0","0.0%","149",
"20904143516","8","4.8%","165",
"20904143517","0","0.0%","142",
"20904143518","0","0.0%","137",
"20904143519","0","0.0%","215",
"20904143520","0","0.0%","102",
"20904143521","0","0.0%","226",
"20904143522","0","0.0%","60",
"20904143523","0","0.0%","180",
"20904143524","0","0.0%","160",
"20904143601","0","0.0%","140",
"20904143602","0","0.0%","179",
"20904143603","0","0.0%","158",
"20904143604","0","0.0%","83",
"20904143605","4","2.4%","167",
"20904143606","0","0.0%","78",
"20904143607","0","0.0%","146",
"20904143608","0","0.0%","122",
"20904143609","0","0.0%","136",
"20904143610","0","0.0%","6",
"20904143611","0","0.0%","157",
"20904143612","0","0.0%","129",
"20904143613","0","0.0%","100",
"20904143614","0","0.0%","225",
"20904143615","0","0.0%","139",
"20904143616","0","0.0%","129",
"20904143617","0","0.0%","96",
"20904143618","3","4.1%","73",
"20904143619","0","0.0%","100",
"20904143620","0","0.0%","129",
"20904143621","0","0.0%","108",
"20904143622","0","0.0%","100",
"20904143623","0","0.0%","169",
"20904143624","0","0.0%","80",
"20904143625","0","0.0%","110",
"20904143626","0","0.0%","153",
"20904143627","0","0.0%","175",
"20904143628","0","0.0%","73",
"20904143630","0","0.0%","164",
"20904143633","3","3.8%","79",
"20904143634","0","0.0%","242",
"20904143635","0","0.0%","275",
"20904143706","0","0.0%","222",
"20904143708","0","0.0%","258",
"20904143709","0","0.0%","146",
"20904143710","0","0.0%","184",
"20904143711","0","0.0%","177",
"20904143712","0","0.0%","186",
"20904143713","0","0.0%","104",
"20904143714","0","0.0%","213",
"20904143715","0","0.0%","174",
"20904143716","0","0.0%","80",
"20904143717","0","0.0%","215",
"20904143718","0","0.0%","132",
"20904143719","0","0.0%","255",
"20904143720","0","0.0%","236",
"20904143721","0","0.0%","87",
"20904143722","0","0.0%","172",
"20904143723","0","0.0%","121",
"20904143724","0","0.0%","49",
"20904143725","0","0.0%","198",
"20904143726","0","0.0%","219",
"20904143727","4","1.7%","235",
"20904143728","0","0.0%","134",
"20904143729","0","0.0%","119",
"20904143730","0","0.0%","162",
"20904143731","0","0.0%","171",
"20904143732","0","0.0%","128",
"20904143733","0","0.0%","159",
"20904143734","0","0.0%","176",
"20904143735","0","0.0%","209",
"20904143736","0","0.0%","63",
"20904143737","0","0.0%","120",
"20904143738","0","0.0%","95",
"20904143739","0","0.0%","218",
"20904143740","0","0.0%","103",
"20904143741","0","0.0%","93",
"20904143742","0","0.0%","175",
"20904143743","0","0.0%","129",
"20904143744","0","0.0%","230",
"20904143745","0","0.0%","244",
"20904143746","0","0.0%","102",
"20904143747","0","0.0%","192",
"20904143748","0","0.0%","120",
"20904143749","0","0.0%","183",
"20904143750","0","0.0%","109",
"20904143751","0","0.0%","36",
"20904143752","0","0.0%","134",
"20904143753","0","0.0%","164",
"20904152701","0","0.0%","134",
"20904152702","0","0.0%","179",
"20904152703","0","0.0%","175",
"20904152704","0","0.0%","185",
"20904152705","0","0.0%","175",
"20904152706","0","0.0%","137",
"20904152707","0","0.0%","102",
"20904152708","0","0.0%","187",
"20904152709","0","0.0%","188",
"20904152710","0","0.0%","97",
"20904152711","0","0.0%","246",
"20904152712","0","0.0%","158",
"20904152713","0","0.0%","161",
"20904152714","0","0.0%","242",
"20904152715","0","0.0%","157",
"20904152716","0","0.0%","122",
"20904152718","0","0.0%","171",
"20904152719","0","0.0%","133",
"20904152720","0","0.0%","118",
"20904152721","0","0.0%","150",
"20904152722","0","0.0%","170",
"20904152723","0","0.0%","80",
"20904152724","0","0.0%","72",
"20904152725","0","0.0%","78",
"20904152726","0","0.0%","157",
"20904152727","0","0.0%","97",
"20904152728","0","0.0%","146",
"20904152729","0","0.0%","185",
"20904152730","0","0.0%","70",
"20904152731","6","2.7%","225",
"20904152732","0","0.0%","121",
"20904152733","0","0.0%","110",
"20904152734","0","0.0%","134",
"20904152735","0","0.0%","79",
"20904152736","0","0.0%","179",
"20904152737","0","0.0%","126",
"20904152801","0","0.0%","203",
"20904152802","0","0.0%","204",
"20904152803","0","0.0%","103",
"20904152804","0","0.0%","214",
"20904152805","0","0.0%","150",
"20904152806","0","0.0%","114",
"20904152807","0","0.0%","212",
"20904152808","0","0.0%","123",
"20904152809","0","0.0%","206",
"20904152810","0","0.0%","147",
"20904152811","0","0.0%","195",
"20904152812","0","0.0%","91",
"20904152813","0","0.0%","156",
"20904152814","0","0.0%","140",
"20904152815","0","0.0%","169",
"20904152816","0","0.0%","206",
"20904152817","0","0.0%","235",
"20904152818","0","0.0%","179",
"20904152819","0","0.0%","151",
"20904152820","0","0.0%","120",
"20904152821","0","0.0%","131",
"20904152822","0","0.0%","71",
"20904152901","0","0.0%","240",
"20904152902","0","0.0%","233",
"20904152903","0","0.0%","245",
"20904152904","0","0.0%","129",
"20904152905","3","2.1%","146",
"20904152906","0","0.0%","144",
"20904152907","6","3.6%","169",
"20904152908","0","0.0%","149",
"20904152909","3","2.3%","133",
"20904152910","0","0.0%","257",
"20904152911","0","0.0%","127",
"20904152912","0","0.0%","107",
"20904152913","0","0.0%","146",
"20904152914","0","0.0%","116",
"20904152915","0","0.0%","181",
"20904152916","0","0.0%","134",
"20904152917","0","0.0%","153",
"20904152918","0","0.0%","140",
"20904152919","5","2.7%","188",
"20904152920","0","0.0%","147",
"20904152921","3","2.0%","151",
"20904152922","0","0.0%","140",
"20904152923","26","16.5%","158",
"20904153001","0","0.0%","119",
"20904153002","0","0.0%","130",
"20904153003","3","3.4%","87",
"20904153004","0","0.0%","97",
"20904153005","0","0.0%","134",
"20904153006","5","3.3%","150",
"20904153007","11","8.9%","124",
"20904153008","4","3.8%","105",
"20904153009","0","0.0%","105",
"20904153010","3","1.6%","192",
"20904153011","3","2.6%","114",
"20904153012","0","0.0%","113",
"20904153013","0","0.0%","94",
"20904153014","8","6.2%","128",
"20904153015","0","0.0%","127",
"20904153016","0","0.0%","128",
"20904153017","0","0.0%","104",
"20904153018","0","0.0%","142",
"20904153020","0","0.0%","147",
"20904153021","3","2.4%","127",
"20904153022","0","0.0%","118",
"20904153023","0","0.0%","191",
"20904153024","0","0.0%","260",
"20904153025","0","0.0%","100",
"20904153026","0","0.0%","302",
"20904153027","8","3.2%","250",
"20904153028","0","0.0%","177",
"20904153029","0","0.0%","223",
"20904153030","0","0.0%","128",
"20904153031","3","1.4%","211",
"20904153032","0","0.0%","176",
"20904153101","0","0.0%","187",
"20904153102","0","0.0%","148",
"20904153103","0","0.0%","75",
"20904153104","0","0.0%","153",
"20904153105","0","0.0%","21",
"20904153106","0","0.0%","187",
"20904153107","13","5.5%","235",
"20904153108","0","0.0%","199",
"20904153109","9","5.8%","154",
"20904153110","0","0.0%","205",
"20904153111","0","0.0%","155",
"20904153112","0","0.0%","83",
"20904153113","3","1.5%","194",
"20904153114","0","0.0%","70",
"20904153115","0","0.0%","140",
"20904153116","0","0.0%","262",
"20904153117","0","0.0%","204",
"20904153118","0","0.0%","127",
"20904153119","0","0.0%","152",
"20904153120","0","0.0%","190",
"20904153121","0","0.0%","168",
"20904153122","9","8.4%","107",
"20904153123","6","5.4%","112",
"20904153124","3","1.3%","230",
"20904153125","0","0.0%","151",
"20904153201","0","0.0%","235",
"20904153202","0","0.0%","150",
"20904153203","0","0.0%","241",
"20904153204","0","0.0%","167",
"20904153205","0","0.0%","149",
"20904153206","0","0.0%","121",
"20904153207","0","0.0%","161",
"20904153208","0","0.0%","129",
"20904153209","0","0.0%","188",
"20904153210","0","0.0%","107",
"20904153211","0","0.0%","166",
"20904153212","0","0.0%","223",
"20904153213","0","0.0%","90",
"20904153214","0","0.0%","165",
"20904153215","0","0.0%","125",
"20904153216","0","0.0%","189",
"20904153217","3","2.2%","138",
"20904153218","0","0.0%","122",
"20904153219","0","0.0%","180",
"20904153220","0","0.0%","111",
"20904153221","0","0.0%","127",
"20904153222","0","0.0%","275",
"20904153223","0","0.0%","189",
"Source: Australian Bureau of Statistics, Census of Population and Housing, 2021 (Enumerated data). Compiled and presented in atlas.id by .id (informed decisions). Note: Due to changes in the ABS rules regarding perturbation of small numbers to protect the confidentiality of individuals in 2016, the totals of all SA1s in an area may not equal the total derived from the area as a whole.",
