Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,RE_URL
"$590,000 - $640,000","6 Weir Terrace, Officer",House,4,2,1,,,Gavin Staindl,https://www.realestate.com.au/property-house-vic-officer-146823572
,"17 Botham Crescent, Pakenham",House,4,2,2,,,Pardeep Singh,https://www.realestate.com.au/property-house-vic-pakenham-146016712
"$640,000 - $670,000","21 Boyd Avenue, Warragul",House,4,2,2,,,Stephanie Nash,https://www.realestate.com.au/property-house-vic-warragul-146657612
"$630,000 - $680,000","53 Valencia Circuit, Cranbourne",House,3,2,2,,,Darren Saxon,https://www.realestate.com.au/property-house-vic-cranbourne-146582880
"$620,000 - $680,000","3 Farmdale Road, Pakenham",House,4,2,2,,,Daniel Boyle,https://www.realestate.com.au/property-house-vic-pakenham-146821964
"$640,000 - $680,000","22 Bronnie Street, Clyde North",House,4,2,2,,,Ben Duke,https://www.realestate.com.au/property-house-vic-clyde+north-146812484
"$640,000 - $680,000","12 Pirita Place, Cranbourne West",House,4,2,2,,,Ben Doughton,https://www.realestate.com.au/property-house-vic-cranbourne+west-146716804
,"14 Honeybrook Lane, Clyde",House,3,2,2,,,Dilshan Wijerathna,https://www.realestate.com.au/property-house-vic-clyde-146564852
"$620,000 - $660,000","15 Laburnum Grove, Doveton",House,3,2,2,Inspection Wed 18 Dec 5:00 pm,,Fatima Rezai,https://www.realestate.com.au/property-house-vic-doveton-144511616
"$630,000 - $693,000","6 Magenta Street, Clyde North",House,4,2,2,,,Tony Muaremov,https://www.realestate.com.au/property-house-vic-clyde+north-146715808
"$580,000 - $620,000","10 Maidenhair Drive, Warragul",House,4,2,2,,,Dave Clark,https://www.realestate.com.au/property-house-vic-warragul-146819724
"$600,000 - $660,000","3 Wicket Road, Clyde",House,3,2,2,,,Jonathan Mallas,https://www.realestate.com.au/property-house-vic-clyde-146715624
"$650,000 - $710,000","12/290 Centre Road, Narre Warren South",House,3,2,2,Inspection Wed 18 Dec 5:30 pm,,Joanne O'Connor,https://www.realestate.com.au/property-house-vic-narre+warren+south-146819480
"$630,000 - $690,000","2 Viewside Way, Hampton Park",House,3,2,2,Inspection tomorrow 9:30 am,,Nalaka Weerakoon,https://www.realestate.com.au/property-house-vic-hampton+park-146819256
"$650,000 = $700,000 AUCTION (UNLESS SOLD PRIOR)","58 Villager Street, Cranbourne East",House,4,2,4,,,Myles Johansson,https://www.realestate.com.au/property-house-vic-cranbourne+east-146578044
"$650,000 - $715,000","8 Azure Court, Pakenham",House,3,2,2,,,Tain Bartholomew,https://www.realestate.com.au/property-house-vic-pakenham-146818560
"$620,000 - $680,000","12 Clarendon Street, Pakenham",House,3,2,2,,,Fabian Villella,https://www.realestate.com.au/property-house-vic-pakenham-146818504
"$585,000 - $630,000","2 Harlesden Circuit, Pakenham",House,3,2,2,,,Troy Farrell,https://www.realestate.com.au/property-house-vic-pakenham-146781360
"$570,000 - $620,000","35 Sandy Road, Officer",House,3,2,2,,,Terri Fellows,https://www.realestate.com.au/property-house-vic-officer-146713944
"$550,000 - $600,000","3 Aileron Alley, Cranbourne North",House,3,2,2,,,Marsh Schwallie,https://www.realestate.com.au/property-house-vic-cranbourne+north-146713772
"$570,000 - $625,000","3 Zeppelin Way, Beaconsfield",House,3,2,1,,,Michael Panayi,https://www.realestate.com.au/property-house-vic-beaconsfield-146713444
$620K - $650K! Plans and Permits 3 Townhouses,"14 Roma Avenue, Cranbourne",House,3,2,5,,,Vas Selvaraj,https://www.realestate.com.au/property-house-vic-cranbourne-146297016
"$599,000 - $658,900","4 Cercis Court, Doveton",House,3,2,1,,,Habib Sultani,https://www.realestate.com.au/property-house-vic-doveton-146147872
"$579,000","1/5 Karrala Court, Drouin",House,3,2,3,,,Clare Rocke,https://www.realestate.com.au/property-house-vic-drouin-144247880
"$600,000-$650,000","20 Western Barred Place, Longwarry",House,4,2,2,,,Shane Candappa,https://www.realestate.com.au/property-house-vic-longwarry-146294956
"$600,300","Lot 42 Granite Court (Nelson Village Estate), Cranbourne East",House,3,2,2,,,Jerome Duchenne,https://www.realestate.com.au/property-house-vic-cranbourne+east-146710608
$610K-$660K! Guest Bed Downstairs! Meridian,"16 Portobello Boulevard, Clyde North",House,4,3,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde+north-146292440
"$580,000 - $620,000","119 Willow Glen Boulevard, Cranbourne",House,3,2,2,,,Sushant Gupta,https://www.realestate.com.au/property-house-vic-cranbourne-146709084
"$649,000 - $675,000","2 Catees Street, Clyde North",House,3,2,2,Inspection Tue 17 Dec 5:00 pm,,Nandana Peiris,https://www.realestate.com.au/property-house-vic-clyde+north-145860868
"$550,000 - $570,000","41 Proctor Road, Longwarry",House,3,2,2,,,Karen McCormick,https://www.realestate.com.au/property-house-vic-longwarry-146438756
"$625,000 to $675,000","1 Lemon Thyme Way, Lynbrook",House,3,2,1,,,James Fernando,https://www.realestate.com.au/property-house-vic-lynbrook-145997220
"$580,000 - $620,000","23 Pendula Place, Pakenham",House,3,2,2,,,Sam Paynter,https://www.realestate.com.au/property-house-vic-pakenham-146812480
"$560,000-$616,000","21 Mortdale Lane, Clyde North",House,3,2,2,,,Kartik Sangani,https://www.realestate.com.au/property-house-vic-clyde+north-146812308
"$625,000-$650,000","37 Emberwood Road, Warragul",House,4,2,2,,,Kim Durrand,https://www.realestate.com.au/property-house-vic-warragul-146812284
,"15 Cabernet Way, Pakenham",House,3,2,2,,,Vicky Singh,https://www.realestate.com.au/property-house-vic-pakenham-146472480
"$650,000 - $715,000","26 Maddock Drive, Cranbourne East",House,3,2,2,,,Mina Saad,https://www.realestate.com.au/property-house-vic-cranbourne+east-146287520
"$535,000 - $579,500","14A Henry Street, Koo Wee Rup",House,3,2,2,,,Paul Ringeri,https://www.realestate.com.au/property-house-vic-koo+wee+rup-146286724
"$589,000-$647,000( Must Sell at Auction)","5 Charlotte Place, Cranbourne West",House,4,2,2,,,Sanjay Singh,https://www.realestate.com.au/property-house-vic-cranbourne+west-146438088
,"162 Monahans Road, Cranbourne",House,3,2,5,,,Navii Sarai,https://www.realestate.com.au/property-house-vic-cranbourne-146430740
"$640,000-$690,000-East Facing!","59 Patrobas Loop, Cranbourne East",House,3,2,2,,,Manpreet Khangura,https://www.realestate.com.au/property-house-vic-cranbourne+east-145489916
"$590,000","3/15 Mill Street, Pakenham",House,3,2,2,,,Rachael Woodham,https://www.realestate.com.au/property-house-vic-pakenham-145239272
"$620,000 - $680,000","12 Frances Court, Cranbourne",House,3,2,2,,,Leon Zuidema,https://www.realestate.com.au/property-house-vic-cranbourne-146772132
"$675,000 - $740,000","9 Jefferson Avenue, Cranbourne North",House,4,2,2,,,Manu Sandhu,https://www.realestate.com.au/property-house-vic-cranbourne+north-145853596
"$649,000","6 Blue Gum Drive, Warragul",House,3,2,2,,,Geoff Quirk,https://www.realestate.com.au/property-house-vic-warragul-145989552
"$650,000 - $715,000","29 Pitfield Avenue, Cranbourne East",House,4,2,2,,,Jonathan Walker,https://www.realestate.com.au/property-house-vic-cranbourne+east-146434368
$650000,"1/12 Shaftesbury Street, Frankston",House,3,2,2,,,Terry Wheeler,https://www.realestate.com.au/property-house-vic-frankston-144989996
"$590,000 - $640,000","10 Clifford Drive, Drouin",House,3,2,2,,,Braeden Robbins,https://www.realestate.com.au/property-house-vic-drouin-146808288
"$650,000","29 Sinclair Street, Warragul",House,3,2,4,,,Peter Heathcote,https://www.realestate.com.au/property-house-vic-warragul-146433708
"$579,000 - $629,000","27 Bourbon Road, Cranbourne East",House,4,2,2,Inspection Thu 19 Dec 5:30 pm,,Andy Choi,https://www.realestate.com.au/property-house-vic-cranbourne+east-146807612
"$620,000 - $675,000","25 TREFELLA RISE, Drouin",House,4,2,3,,,Aman Singh,https://www.realestate.com.au/property-house-vic-drouin-145486064
"$490,000-$510,000(MUST SELL!!!)","26 Ollie Place, Cranbourne East",House,3,2,1,,,Sanjay Singh,https://www.realestate.com.au/property-house-vic-cranbourne+east-146129156
$540 000 - $580 000,"14 Western Barred Place, Longwarry",House,3,2,2,,,Brad Boyde,https://www.realestate.com.au/property-house-vic-longwarry-144506740
"$570,000 to $627,000 MUST SELL","18 Cumberland Chase, Hampton Park",House,3,2,2,,,Ni Ma,https://www.realestate.com.au/property-house-vic-hampton+park-140432355
"$620,000 - $680,000","130a Duncan Drive, Pakenham",House,4,2,2,,,Alistair Boyle,https://www.realestate.com.au/property-house-vic-pakenham-146127916
$640 000 - $680 000,"15 Skipton Street, Drouin",House,4,2,3,,,Brad Boyde,https://www.realestate.com.au/property-house-vic-drouin-146430052
"$640,000 - $680,000","23A Ti-Tree Drive, Doveton",House,3,2,1,,,Habib Sultani,https://www.realestate.com.au/property-house-vic-doveton-146126924
"$650,000 - $690,000 - LUXURY HOME","3 Amadeus Street, Clyde",House,4,2,2,,,Shan Dias,https://www.realestate.com.au/property-house-vic-clyde-146806192
"$580,000 - $600,000","106 North Road, Warragul",House,4,2,1,,,Sarah Francis,https://www.realestate.com.au/property-house-vic-warragul-146223448
,"5A Greenland Drive, Drouin",House,6,3,8,,,John Edwards,https://www.realestate.com.au/property-house-vic-drouin-145164032
"$385,000 - $420,000","1/19 Jamieson Street, Warragul",House,3,2,1,,,Kaye Dixon,https://www.realestate.com.au/property-house-vic-warragul-146427820
"$640,000-$690,000","9 McGavin Way, Cranbourne",House,3,2,2,,,Danny O'Brien,https://www.realestate.com.au/property-house-vic-cranbourne-146574856
"$640,000 - $670,000","7 Chive Walk, Narre Warren South",House,3,2,2,,,Naval Aulakh,https://www.realestate.com.au/property-house-vic-narre+warren+south-145482032
"$619,000 - $649,000 BRAND NEW!","5 Tines Way, Clyde North",House,3,2,1,,,Sri Muthukumar,https://www.realestate.com.au/property-house-vic-clyde+north-146572740
"$565,000 - $585,000","15 Williamson Street, Drouin",House,3,2,2,,,Grant Johnson,https://www.realestate.com.au/property-house-vic-drouin-145352720
"$ 640,000 to $ 670,000","8 Kate Avenue, Hampton Park",House,3,2,2,,,Rohullah Naim,https://www.realestate.com.au/property-house-vic-hampton+park-146423408
"$635,000 - $665,000","1 Paramount Way, Pakenham",House,3,2,2,,,Team Anita & Harpreet,https://www.realestate.com.au/property-house-vic-pakenham-146267196
$585 000 - $625 000,"54B Manikato Drive, Drouin",House,3,2,2,,,Brad Boyde,https://www.realestate.com.au/property-house-vic-drouin-145455348
,"245 Saint Germain Boulevard, Clyde North",House,4,2,2,,,Chris Zhang,https://www.realestate.com.au/property-house-vic-clyde+north-142607556
$600K-$660K! Guest Bed Downstairs!,"4 Stonethwaite Lane, Clyde North",House,4,3,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde+north-146568280
"$580,000 - $635,000","16 Tassell Drive, Warragul",House,4,2,2,,,Vince Di Grazia,https://www.realestate.com.au/property-house-vic-warragul-146567720
,"14 Langley Way, Pakenham",House,3,2,2,,,Amanda Claridge,https://www.realestate.com.au/property-house-vic-pakenham-146262412
"$610,000 - $630,000","42 Summerhill Boulevard, Drouin",House,4,2,2,,,Shane Candappa,https://www.realestate.com.au/property-house-vic-drouin-141490684
"$630,000 - $670,000","286 Golf Links Road, Narre Warren",House,3,2,2,,,Javid Zada,https://www.realestate.com.au/property-house-vic-narre+warren-146544460
"$600,000 - $640,000","109 McNeilly Road, Drouin",House,4,2,2,,,Dave Clark,https://www.realestate.com.au/property-house-vic-drouin-146415372
"$625,000 - $675,000","27 Rathberry Circuit, Clyde North",House,3,2,2,,,Shan Dias,https://www.realestate.com.au/property-house-vic-clyde+north-146564460
"$600,000 - $640,000","16 Rivendale Crescent, Drouin",House,3,2,2,,,Jo Cappola,https://www.realestate.com.au/property-house-vic-drouin-144740532
"$480,000 - $525,000(Negotiable)","2/24 Mckindlay Street, Drouin",House,3,2,2,,,Vikram Dhankhar,https://www.realestate.com.au/property-house-vic-drouin-146259068
"$629,000","10 Karrala Court, Drouin",House,4,2,2,,,Anthony Rabl,https://www.realestate.com.au/property-house-vic-drouin-146563136
"$600,000 - $660,000 unless sold prior","38 Clarendon Street, Pakenham",House,3,2,2,,,Calvin Davis,https://www.realestate.com.au/property-house-vic-pakenham-146413444
"$560,000 - $600,000","40 Dawson Drive, Warragul",House,4,2,2,,,Zac Jeric,https://www.realestate.com.au/property-house-vic-warragul-146258208
"$649,000","5 Summerhill Boulevard, Drouin",House,3,2,2,,,Dave Clark,https://www.realestate.com.au/property-house-vic-drouin-146257892
"$639,000-$699,000","296 Casey Fields Boulevard, Cranbourne East",House,3,2,2,,,Hardeep Singh,https://www.realestate.com.au/property-house-vic-cranbourne+east-146703780
"$650,000 - $715,000","22 Bales Road, Cranbourne East",House,4,2,2,,,Jonathan Walker,https://www.realestate.com.au/property-house-vic-cranbourne+east-144860756
"$620,000 - $650,000","7 Dalziell Crescent, Cranbourne North",House,3,2,2,,,Palitha Fernando,https://www.realestate.com.au/property-house-vic-cranbourne+north-143101648
"$610,000 - $660,000","12 Cumberland Drive, Pakenham",House,3,2,2,,,Rebecca O'Brien,https://www.realestate.com.au/property-house-vic-pakenham-146110456
"$595,000","8 Richie Court, Drouin",House,3,2,2,,,Libby Talbot,https://www.realestate.com.au/property-house-vic-drouin-145721892
,"3 Grand Central Boulevard, Pakenham",House,3,2,2,,,Brad Townsend,https://www.realestate.com.au/property-house-vic-pakenham-146408480
"$599,000 - $635,000","43 Odeon Avenue, Clyde North",House,3,2,2,,,Sen Sathyajith,https://www.realestate.com.au/property-house-vic-clyde+north-146558016
"$630,000 to $675,000","4 Bethune Drive, Hampton Park",House,3,2,2,,,Khaled Arabzadeh,https://www.realestate.com.au/property-house-vic-hampton+park-146407176
,"5 Tadpole Lane, Clyde North",House,4,2,1,,,Dilshan Wijerathna,https://www.realestate.com.au/property-house-vic-clyde+north-146557856
$620K-$660K! Park Facing!,"5 Thornell Street, Clyde North",House,3,2,1,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde+north-146700128
"$595,000-$655,000","20 Pembrokeshire Loop, Clyde",House,3,2,2,,,Gill Harkirat,https://www.realestate.com.au/property-house-vic-clyde-146556480
"$590,000 to $640,000","18 Saddleback Road, Botanic Ridge",House,4,2,2,,,Jason Stirling,https://www.realestate.com.au/property-house-vic-botanic+ridge-146554220
"$550,000 - $605,000","21 Flaxlilly Crescent, Officer",House,4,2,1,,,Arif Akhlaqi,https://www.realestate.com.au/property-house-vic-officer-145464656
"$595,000 - $645,000","12 Todd Lane, Pakenham",House,4,2,2,,,Hunny Sharma,https://www.realestate.com.au/property-house-vic-pakenham-146552644
"$602,000 - $662,000","32 Borthwick Parade, Clyde North",House,3,2,1,,,Nav Sarkaria,https://www.realestate.com.au/property-house-vic-clyde+north-146696816
"$570,000 - $605,000","132 Willandra Circuit, Warragul",House,4,2,2,,,Joshua Jarred,https://www.realestate.com.au/property-house-vic-warragul-146696716
"$559,000 - $599,000 Must Sell this Week!","6 Rockford Street, Pakenham",House,3,2,2,,,Mehdi Fayazi,https://www.realestate.com.au/property-house-vic-pakenham-146548480
"$549,000 - $579,000","29 Rangeview Street, Warragul",House,4,3,4,,,Carmen Christie,https://www.realestate.com.au/property-house-vic-warragul-146430108
"$650,000 - $699,950","45b Hillview Drive, Carrum Downs",House,4,4,2,,,Shane Donovan,https://www.realestate.com.au/property-house-vic-carrum+downs-146693780
"$600,000 to $655,000","31 Trefella Rise, Drouin",House,4,2,2,,,Michael Asche,https://www.realestate.com.au/property-house-vic-drouin-146243944
"$620,000 - $670,000 - Brand New + $10,000 FHBG","46 Hedgevale Drive, Officer",House,3,2,1,,,Shan Dias,https://www.realestate.com.au/property-house-vic-officer-145460148
"$630,000 to $680,000","214 Monahans Road, Cranbourne",House,3,2,6,,,Keenan Kleynhans,https://www.realestate.com.au/property-house-vic-cranbourne-146546560
"$650,000 - $700,000","5 Hakea Court, Drouin",House,3,2,2,,,Bianca Giles,https://www.realestate.com.au/property-house-vic-drouin-146242992
"$605,000 - $665,000","5A Templer Avenue, Hampton Park",House,3,2,2,,,Michael Panayi,https://www.realestate.com.au/property-house-vic-hampton+park-146691424
"$620,000 to $682,000","11 Justin Circuit, Hampton Park",House,3,2,2,,,Khaled Arabzadeh,https://www.realestate.com.au/property-house-vic-hampton+park-146691300
"$625,000","1 Oddy Street, Drouin",House,3,2,2,,,Stephanie Nash,https://www.realestate.com.au/property-house-vic-drouin-146800720
,"10 Ashton Place, Pakenham",House,3,2,3,,,Belinda Ragoni,https://www.realestate.com.au/property-house-vic-pakenham-144721504
"$600,000 - $660,000","18 Old Trafford Way, Officer",House,3,2,2,,,Gavin Staindl,https://www.realestate.com.au/property-house-vic-officer-146541708
$550K-$605K! No Body Corp! Meridian Central!,"8 Portobello Boulevard, Clyde North",House,3,2,1,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde+north-145840524
$595K-$650K! 2 Separate Living Areas!,"26 Cherry Tree Lane, Clyde",House,3,2,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde-144977824
"$595,000 - $650,000","6A Jacqueline Place, Pakenham",House,4,2,2,,,John Deo,https://www.realestate.com.au/property-house-vic-pakenham-145455240
"$630,000 - $680,000","10 Rupert Street, Cranbourne East",House,4,2,1,,,Phillip Verma,https://www.realestate.com.au/property-house-vic-cranbourne+east-146687992
"$590,000 - $649,000","301/15 Windsor Avenue, Springvale",House,3,2,2,,,Phillip Khuon,https://www.realestate.com.au/property-house-vic-springvale-146539380
"$600,000 - $660,000","2 Jumbuck Circuit, Carrum Downs",House,3,2,2,,,Georgia Ryan,https://www.realestate.com.au/property-house-vic-carrum+downs-146538908
$599K-$658K! Brand New! 10K FHOG!,"21 Cann Street, Clyde",House,4,2,1,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde-146798440
"$649.000 - $712,000","17 Stephellen Way, Cranbourne West",House,3,2,4,,,Vats Jaitly,https://www.realestate.com.au/property-house-vic-cranbourne+west-146388836
"$640,000 - $680,000","54 Bona Vista Rise, Clyde",House,3,2,1,,,Dilshan Wijerathna,https://www.realestate.com.au/property-house-vic-clyde-146685796
,"41 Cook Street, Drouin",House,3,2,1,,,Brad Boyde,https://www.realestate.com.au/property-house-vic-drouin-145322660
"$560,000 to $590,000 - Priced to Sell !!!","16 Kosciuszko Circuit, Clyde",House,3,2,1,,,James Fernando,https://www.realestate.com.au/property-house-vic-clyde-142262456
"$600,000 - $660,000","16 Eacott Street, Longwarry",House,4,2,2,,,Marcus Washington,https://www.realestate.com.au/property-house-vic-longwarry-146797204
"$645,000 - $665,000","30 McLean Street, Drouin",House,3,2,3,,,Elise Davidson,https://www.realestate.com.au/property-house-vic-drouin-145669196
"$650,000 - $695,000 - STUNNING HOME!","11 Walhallow Drive, Clyde North",House,4,2,1,,,Shan Dias,https://www.realestate.com.au/property-house-vic-clyde+north-146683080
"$630,000 - $690,000","31 Authentic Avenue, Cranbourne South",House,3,2,2,,,Maddie Harris,https://www.realestate.com.au/property-house-vic-cranbourne+south-146682348
"$650,000 - $695,000","13 Balook Court, Cranbourne North",House,3,2,2,,,Peter Khamis,https://www.realestate.com.au/property-house-vic-cranbourne+north-146796008
"$550,000 to $600,000","3 Bertram Street, Drouin",House,3,2,3,,,Jeffrey George,https://www.realestate.com.au/property-house-vic-drouin-146385388
"$580,000-$620,000","7 Tatterson Court, Warragul",House,4,2,2,,,Kim Durrand,https://www.realestate.com.au/property-house-vic-warragul-146795600
"$600,000 - $620,000","16 Ellen Close, Warragul",House,3,2,2,,,Daniel Sheehan,https://www.realestate.com.au/property-house-vic-warragul-146237680
"$600,000 - $630,000","91 Golden Grove Drive, Narre Warren South",House,3,2,2,,,Chaminda Gunasekara,https://www.realestate.com.au/property-house-vic-narre+warren+south-146068500
"$640,000 - $660,000","4 Denistoun Crescent, Cranbourne",House,3,2,2,,,Mel Worthington,https://www.realestate.com.au/property-house-vic-cranbourne-146530900
"$635,000 - $665,000","16 Longwarry Road, Drouin",House,4,2,2,,,Vince Di Grazia,https://www.realestate.com.au/property-house-vic-drouin-146795160
"$625,000 - $645,000","13 Stanhope Place, Pakenham",House,4,2,2,,,Amanda Charles,https://www.realestate.com.au/property-house-vic-pakenham-146384236
$590K-$630K! Guest Bed Downstairs!,"22 Portobello Boulevard, Clyde North",House,4,3,2,,,Aseem Jhanji,https://www.realestate.com.au/property-house-vic-clyde+north-145833596
"$600,000-$650,000","66 Sutton Street, Warragul",House,3,2,2,,,Kim Durrand,https://www.realestate.com.au/property-house-vic-warragul-146794264
"$575,000 - $599,000 | NO BODY CORPORATE FEES!","10 Tolpis Lane, Cranbourne North",House,3,2,2,,,Shami Hamdam,https://www.realestate.com.au/property-house-vic-cranbourne+north-145968336
"$615,000 - $675,000","35 Timbertop Crescent, Drouin",House,4,2,2,,,Braeden Robbins,https://www.realestate.com.au/property-house-vic-drouin-144846012
"UNDER CONTRACT! $620,000 - $669,000","280 Rix Road, Officer",House,4,2,2,,,Milan Takkar,https://www.realestate.com.au/property-house-vic-officer-146676808
"$650,000 - $670,000","5 Ethan Court, Pakenham",House,4,2,2,,,Jess Ostrom,https://www.realestate.com.au/property-house-vic-pakenham-146380648
"$645,000 - $665,000","6 Hume Court, Warragul",House,4,2,2,,,Dave Clark,https://www.realestate.com.au/property-house-vic-warragul-144842940
"House and Land $642,860","74 Palladium Boulevard, Drouin",House,4,2,2,,,Laura Gould,https://www.realestate.com.au/property-house-vic-drouin-146792004
"$540,000 - $580,000","96 Cook Street, Drouin",House,3,2,2,,,Jess Ostrom,https://www.realestate.com.au/property-house-vic-drouin-146791668
